external_id,title,company_name,location_city,external_url,posted_date,experience_level,job_type,is_remote,skills,description,requirements
eg-tech-1,Backend Developer (Python/Django),Vodafone Egypt,Cairo,https://wuzzuf.net/jobs/p/eg-tech-1,2026-06-01,entry,full_time,true,Python;Django;PostgreSQL;REST API;Docker,Vodafone Egypt is hiring a Backend Developer (Python/Django) in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-2,Senior React Engineer,Fawry,Giza,https://wuzzuf.net/jobs/p/eg-tech-2,2026-05-31,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Fawry is hiring a Senior React Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-3,Python Data Engineer,Swvl,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-3,2026-05-30,senior,full_time,false,Python;SQL;Pandas;Data Analysis;Machine Learning,Swvl is hiring a Python Data Engineer in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-4,Django REST API Developer,Paymob,Cairo,https://wuzzuf.net/jobs/p/eg-tech-4,2026-05-29,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Paymob is hiring a Django REST API Developer in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-5,Frontend Engineer,Rabbit,Giza,https://wuzzuf.net/jobs/p/eg-tech-5,2026-05-28,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Rabbit is hiring a Frontend Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-6,Data Analyst,Breadfast,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-6,2026-05-27,senior,full_time,true,Python;SQL;Pandas;Data Analysis;Machine Learning,Breadfast is hiring a Data Analyst in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-7,Backend Developer (Python/Django),Instabug,Cairo,https://wuzzuf.net/jobs/p/eg-tech-7,2026-05-26,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Instabug is hiring a Backend Developer (Python/Django) in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-8,Senior React Engineer,Vezeeta,Giza,https://wuzzuf.net/jobs/p/eg-tech-8,2026-05-25,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Vezeeta is hiring a Senior React Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-9,Business Intelligence Analyst,Yassir,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-9,2026-05-24,senior,full_time,false,Python;SQL;Pandas;Data Analysis;Machine Learning,Yassir is hiring a Business Intelligence Analyst in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-10,Django REST API Developer,Odoo Egypt,Cairo,https://wuzzuf.net/jobs/p/eg-tech-10,2026-05-23,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Odoo Egypt is hiring a Django REST API Developer in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-11,Frontend Engineer,Sprints,Giza,https://wuzzuf.net/jobs/p/eg-tech-11,2026-05-22,mid,full_time,true,JavaScript;React;TypeScript;CSS;Git,Sprints is hiring a Frontend Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
eg-tech-12,Junior Data Scientist,Robusta,Alexandria,https://wuzzuf.net/jobs/p/eg-tech-12,2026-05-21,senior,full_time,false,Python;SQL;Pandas;Data Analysis;Machine Learning,Robusta is hiring a Junior Data Scientist in Egypt.,"Python, SQL, Pandas, Data Analysis, Machine Learning"
eg-tech-13,Backend Developer (Python/Django),Vodafone Egypt,Cairo,https://wuzzuf.net/jobs/p/eg-tech-13,2026-05-20,entry,full_time,false,Python;Django;PostgreSQL;REST API;Docker,Vodafone Egypt is hiring a Backend Developer (Python/Django) in Egypt.,"Python, Django, PostgreSQL, REST API, Docker"
eg-tech-14,Senior React Engineer,Fawry,Giza,https://wuzzuf.net/jobs/p/eg-tech-14,2026-05-19,mid,full_time,false,JavaScript;React;TypeScript;CSS;Git,Fawry is hiring a Senior React Engineer in Egypt.,"JavaScript, React, TypeScript, CSS, Git"
