reviewer_id,item_id,role,subskill,score_1to5,notes
R1,OE01,backend,service_decomposition,,
R1,OE02,backend,relational_modeling,,
R1,OE03,backend,http_api_design,,
R1,OE04,frontend,hooks_effects,,
R1,OE05,frontend,component_composition,,
R1,OE06,data_science,batch_vs_streaming,,
R1,OE08,machine_learning_engineer,training_serving_skew,,
R1,OE09,machine_learning_engineer,bias_variance,,
R1,OE11,devops,iam_least_privilege,,
R1,OE12,android,optimistic_updates,,
R1,OE14,ui_ux_designer,usability_testing,,
R1,OE15,ui_ux_designer,information_architecture,,
R2,OE01,backend,service_decomposition,,
R2,OE02,backend,relational_modeling,,
R2,OE03,backend,http_api_design,,
R2,OE04,frontend,hooks_effects,,
R2,OE05,frontend,component_composition,,
R2,OE06,data_science,batch_vs_streaming,,
R2,OE07,data_science,star_schema,,
R2,OE09,machine_learning_engineer,bias_variance,,
R2,OE10,devops,dockerfile_best_practices,,
R2,OE12,android,optimistic_updates,,
R2,OE13,fullstack,be_select_related_prefetch,,
R2,OE15,ui_ux_designer,information_architecture,,
R3,OE01,backend,service_decomposition,,
R3,OE02,backend,relational_modeling,,
R3,OE03,backend,http_api_design,,
R3,OE04,frontend,hooks_effects,,
R3,OE05,frontend,component_composition,,
R3,OE07,data_science,star_schema,,
R3,OE08,machine_learning_engineer,training_serving_skew,,
R3,OE10,devops,dockerfile_best_practices,,
R3,OE11,devops,iam_least_privilege,,
R3,OE13,fullstack,be_select_related_prefetch,,
R3,OE14,ui_ux_designer,usability_testing,,
